ATCA_name,RA_atca,errRA_atca,DEC_atca,errDEC_atca,f20,ef20,f93,B3est,Flags,Flags2,ALMAname,SOURCE_ID,distance_alma,distance_vlbi,distance_grid,CATALOGUE_ID,RA_alma,RA_UNCERTAINTY_alma,DEC_alma,DEC_UNCERTAINTY_alma,FREQUENCY,FLUX,FLUX_UNCERTAINTY,DATE_OBSERVED,VALID,IVS,name,RA_vlbi,DEC_vlbi,Grid_close,OTHER,OTHER2
J183339-210341,278.416455,0.00375,-21.06144,0.00028,5495,360,NONE,1373.75,g,nnn,,8059,1.5314598615,1.0802503983,50988.3206377019,5,278.416,2.77777777777778E-007,-21.0614661111,2.77777777777778E-007,91460000000,1.45,0.03,2013-12-30 00:00:00,0,1830-21A,J1833-210A,278.4161941083,-21.0612645944,J1924-2914|J1924-292|J192451-291428|B1921-293,,
J040353-360500,60.97404,0.00375,-36.08358,0.00028,4013,189,NONE,1003.25,g,nnn,,1962,1.0525492154,1.0525492154,25571.7232034555,5,60.9739579,3.33333333333333E-008,-36.0838647472,2.77777777777778E-008,343250000000,0.69,0.07,2013-11-12 00:00:00,1,0402-362,J0403-3605,60.9739579,-36.0838647472,J0334-4008|J0334-401|J033413-400830|B0332-403,,
J033930-014635,54.87879,0.00375,-1.77639,0.00028,2213,110,1279,553.25,g,nnn,J0339-0146|J0339-017|J033930-014638|B0336-019,1788,0.9048459216,0.9048459216,39389.6255995577,5,54.87890745,2.77777777777778E-008,-1.7766122472,2.77777777777778E-008,91460000000,1.832,0.055,2013-12-21 00:00:00,1,CTA26,J0339-0146,54.87890745,-1.7766122472,J0423-0120|J0423-013|J042315-012034|B0420-014,,
J213410-015316,323.54283,0.00375,-1.88792,0.00028,2107,104,4173,526.75,g,nnn,J2134-0153|J2134-018|J213410-015325|B2131-021,9243,0.8578221361,0.8578221361,34220.9108422569,5,323.5429566458,2.77777777777778E-008,-1.8881218861,2.77777777777778E-008,91460000000,2.211,0.066,2013-12-21 00:00:00,1,2131-021,J2134-0153,323.5429566458,-1.8881218861,J2148+0657|J2148+069|J214805+065743|B2145+067,,
J132649-525623,201.70512,0.00375,-52.93989,0.00028,2061,103,2434,515.25,g,nnn,J1326-5256,13297,0.0291585887,0.0291585887,53645.1766665478,21,201.7051214,0.0000001,-52.9398981,0.0000001,20000000000,2.061,0.103,2006-01-01 00:00:00,1,1323-526,J1326-5256,201.7051214208,-52.9398980833,J1427-4206|J1427-421|J142755-420612|B1424-418,,
J044017-433308,70.071585,0.00375,-43.55233,0.00028,1947,87,249,486.75,g,nnn,,2273,0.216158492,0.216158492,26529.127801052,5,70.0715832208,4.16666666666667E-008,-43.5523900333,3.61111111111111E-008,254970000000,0.1,0.02,2012-08-21 00:00:00,1,0438-436,J0440-4333,70.0715832208,-43.5523900333,J0519-4546|J0519-454,,
J165016-504446,252.56913,0.00375,-50.74625,0.00028,1877,94,NONE,469.25,g,nnn,,7397,1.7440963944,1.7440963944,33621.9428872599,5,252.569279575,6.94444444444444E-008,-50.7467251361,6.94444444444444E-008,103490000000,0.59,0.03,2013-12-30 00:00:00,1,1646-506,J1650-5044,252.569279575,-50.7467251361,J1617-5848|J1613-586,,
J215155-302753,327.981585,0.00375,-30.46494,0.00028,1846,89,2367,461.5,g,nnn,,9377,0.7344518008,0.7344518008,52696.2419965227,5,327.9813499375,3.33333333333333E-008,-30.4649161,3.05555555555556E-008,91460000000,1.31,0.06,2013-12-30 00:00:00,1,2149-306,J2151-3027,327.9813499375,-30.4649161,J2258-2758|J2258-279|J225805-275823|B2255-282,,
J221852-033536,334.71687,0.00375,-3.59347,0.00028,1726,86,816,431.5,g,nnn,J2218-0335|J2218-035|J221851-033540|B2216-038,9608,0.4214623835,0.4214511761,46989.5240035654,5,334.7168238542,2.77777777777778E-008,-3.5935776333,2.77777777777778E-008,254970000000,0.2,0.02,2012-06-22 00:00:00,1,2216-038,J2218-0335,334.7168238542,-3.5935776333,J2148+0657|J2148+069|J214805+065743|B2145+067,,
J001259-395426,3.24954,0.00375,-39.90733,0.00028,1609,73,301,402.25,g,nnn,,119,0.4072935211,0.4072819237,48695.9344628098,5,3.2496243792,5.55555555555556E-008,-39.9072372111,0.00000005,91460000000,0.31,0.01,2013-12-30 00:00:00,1,0010-401,J0012-3954,3.2496243792,-39.9072372111,J2357-5311|J235752-531116|B2355-534,,
