Event Result UID Scan 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X121 1 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X121 1 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X121 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X134 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X134 1 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X159 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X159 1 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X159 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X159 2 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X159 2 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X159 2 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 1 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 2 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 2 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 3 
FocusReducedEvent: SUCCESS uid://A002/X82abd7/X1ba 3 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X22b 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X22b 1 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X22b 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X22b 2 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X22b 2 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X22b 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X22b 3 
FocusReducedEvent: SUCCESS uid://A002/X82abd7/X22b 3 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X28c 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X28c 3 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 4 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 4 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/X28c 4 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X28c 5 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 6 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X28c 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 9 "Missing CAL_WVR, scan 8"
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 10 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 11 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 12 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 13 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 14 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 15 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 16 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 17 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 17 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 18 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 19 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 20 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 21 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 22 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 23 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 24 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 25 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 26 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 26 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X28c 26 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 27 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 28 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 29 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 30 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 31 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 32 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 33 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 34 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 35 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X28c 35 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 37 "Missing Cal_Phase, CAL_WVR, scan 36"
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 38 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 39 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 40 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 41 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 42 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 43 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 44 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 45 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 45 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X28c 45 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 46 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 47 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 48 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 49 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 50 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 51 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 52 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 53 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 54 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 54 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X28c 54 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 55 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 56 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 57 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 58 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 59 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 60 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 61 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 62 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 63 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X28c 63 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 65 "Missing Cal_Phase, CAL_WVR, scan 64"
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 66 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 67 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 68 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 69 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 70 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 71 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 72 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 73 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 73 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X28c 73 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 74 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 75 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 76 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 77 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X28c 78 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X28c 78 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X28c 78 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 1 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 2 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 2 
DelayReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 3 
FocusReducedEvent: SUCCESS uid://A002/X82abd7/X4d4 3 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X537 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X537 3 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 4 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X537 5 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X537 6 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/X537 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X537 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X537 8 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 20 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
PhaseCurveReducedEvent: SUCCESS uid://A002/X82abd7/X537 21 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X537 22 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/X835 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 2 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 3 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 3 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 4 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 5 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 5 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
PhaseCalReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
BandPassReducedEvent: SUCCESS uid://A002/X82abd7/X835 6 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 7 
AtmosphereReducedEvent: SUCCESS uid://A002/X82abd7/X835 7 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 8 
AmpliCalReducedEvent: SUCCESS uid://A002/X82abd7/X835 8 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/X835 22 
  0  
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 1 
PointingReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 1 
WVRReducedEvent: SUCCESS uid://A002/X82abd7/Xb39 2 
