vla_name p_err ra dec est_flux 
1256-057 0.005 12:56:11.166560 -05:47:21.524580 12.35 
2253+161 0.001 22:53:57.747932 16:08:53.560890 8.55 
1229+020 0.005 12:29:06.699729 02:03:08.598190 6.75 
1230+123 0.001 12:30:49.423381 12:23:28.043930 6 
1642+398 0.001 16:42:58.809951 39:48:36.993950 5.6 
2148+069 0.001 21:48:05.458679 06:57:38.604220 3.8 
1743-038 0.001 17:43:58.856137 -03:50:04.616680 2.55 
1415+133 0.001 14:15:58.817499 13:20:23.712600 2.15 
0418+380 0.005 04:18:21.2770 38:01:35.800 2.1 
0532+075 0.001 05:32:38.998531 07:32:43.345860 2.1 
1751+096 0.001 17:51:32.818573 09:39:00.728510 2.1 
0750+125 0.001 07:50:52.045731 12:31:04.828160 1.9 
0607-085 0.001 06:07:59.699243 -08:34:49.978150 1.8 
0238+166 0.001 02:38:38.930108 16:36:59.274710 1.75 
0927+390 0.001 09:27:03.013916 39:02:20.851950 1.7 
1058+015 0.001 10:58:29.605209 01:33:58.823720 1.7 
1549+026 0.001 15:49:29.436847 02:37:01.163470 1.55 
0501-019 0.001 05:01:12.809888 -01:59:14.256200 1.5 
0423-013 0.001 04:23:15.800727 -01:20:33.065310 1.45 
2015+371 0.05 20:15:28.7333 37:10:59.505 1.45 
2136+006 0.005 21:36:38.586299 00:41:54.213350 1.45 
2025+337 0.001 20:25:10.842097 33:43:00.214540 1.4 
1658+076 0.001 16:58:09.011458 07:41:27.540720 1.3 
1613+342 0.001 16:13:41.064249 34:12:47.909090 1.29 
0339-017 0.001 03:39:30.937787 -01:46:35.803990 1.25 
0433+053 0.001 04:33:11.095535 05:21:15.619420 1.25 
0555+398 0.001 05:55:30.805608 39:48:49.165000 1.25 
0757+099 0.001 07:57:06.642936 09:56:34.852100 1.25 
2232+117 0.005 22:32:36.408914 11:43:50.904100 1.25 
2203+174 0.001 22:03:26.893691 17:25:48.247840 1.2 
0530+135 0.001 05:30:56.416744 13:31:55.149550 1.15 
2229-085 0.001 22:29:40.084346 -08:32:54.435410 1.15 
0808-078 0.001 08:08:15.536036 -07:51:09.886340 1.1 
0739+016 0.001 07:39:18.033894 01:37:04.618030 1.05 
1357+193 0.001 13:57:04.436656 19:19:07.372340 1.05 
1635+381 0.001 16:35:15.492973 38:08:04.500600 1.05 
2225-049 0.001 22:25:47.259291 -04:57:01.390730 1.05 
0854+201 0.001 08:54:48.874925 20:06:30.640880 1 
0010+109 0.001 00:10:31.005888 10:58:29.504120 0.95 
0825+031 0.001 08:25:50.338355 03:09:24.520140 0.95 
0830+241 0.001 08:30:52.086192 24:10:59.820460 0.95 
0237+288 0.001 02:37:52.405678 28:48:08.990080 0.9 
1159+292 0.001 11:59:31.833911 29:14:43.826940 0.9 
2327+096 0.001 23:27:33.580579 09:40:09.462780 0.9 
1038+052 0.005 10:38:46.7803 05:12:29.096 0.88 
1550+054 0.001 15:50:35.269240 05:27:10.448230 0.85 
1222+042 0.001 12:22:22.549618 04:13:15.776300 0.8 
2023+318 0.001 20:23:19.017351 31:53:02.305950 0.8 
2203+317 0.001 22:03:14.975790 31:45:38.269940 0.8 
2334+076 0.001 23:34:12.828194 07:36:27.552040 0.8 
0006-063 0.001 00:06:13.892894 -06:23:35.335300 0.75 
0336+323 0.001 03:36:30.107599 32:18:29.342390 0.75 
0539+145 0.001 05:39:42.365999 14:33:45.561900 0.75 
1516+002 0.001 15:16:40.219072 00:15:01.908960 0.75 
2101+036 0.001 21:01:38.834187 03:41:31.321590 0.75 
1331+305 0.001 13:31:08.287984 30:30:32.958850 0.72 
0050-094 0.001 00:50:41.317390 -09:29:05.210210 0.7 
0125-000 0.001 01:25:28.843788 -00:05:55.931800 0.7 
0242+110 0.001 02:42:29.170847 11:01:00.728230 0.7 
0741+312 0.001 07:41:10.703308 31:12:00.228620 0.7 
0204+152 0.001 02:04:50.413904 15:14:11.043460 0.65 
1848+323 0.001 18:48:22.088579 32:19:02.603500 0.65 
1504+104 0.001 15:04:24.979783 10:29:39.198650 0.61 
0108+015 0.005 01:08:38.771074 01:35:00.317140 0.6 
0824+392 0.001 08:24:55.483865 39:16:41.904300 0.6 
1512-090 0.005 15:12:50.532939 -09:05:59.829500 0.6 
2218-035 0.001 22:18:52.037725 -03:35:36.879410 0.6 
2247+031 0.001 22:47:58.682108 03:10:42.353940 0.6 
0656-033 0.05 06:56:11.1223 -03:23:06.638 0.58 
0056+164 0.05 00:56:55.294159 16:25:13.338960 0.55 
0115-014 0.001 01:15:17.099972 -01:27:04.577370 0.55 
0121+118 0.001 01:21:41.595043 11:49:50.413130 0.55 
0241-082 0.001 02:41:04.798520 -08:15:20.751840 0.55 
1728+044 0.001 17:28:24.952716 04:27:04.914010 0.55 
2134-018 0.001 21:34:10.309614 -01:53:17.238900 0.55 
2212+239 0.001 22:12:05.966318 23:55:40.543880 0.55 
2249+211 0.001 22:49:00.566733 21:07:02.835470 0.55 
2320+052 0.001 23:20:44.856598 05:13:49.952660 0.55 
0831+044 0.001 08:31:48.876955 04:29:39.085340 0.51 
0152+221 0.001 01:52:18.059047 22:07:07.700040 0.5 
0442-002 0.001 04:42:38.660762 -00:17:43.419100 0.5 
0510+180 0.001 05:10:02.369122 18:00:41.581710 0.5 
0811+017 0.001 08:11:26.707322 01:46:52.220020 0.5 
